Number,Component number,obj ID,Redshift,u,g,r,i,z,ABS R,CLASS,SUBCLASS,Class (From BPT)
1,1,1237645942905700478,0.131,20.84,18.74,17.44,16.78,16.34,-22.6459,GALAXY,...,composite
1,2,1237645942905700479,0.131,21.9,19.44,18.09,17.62,17.06,-21.7872,GALAXY,...,...
2,1,1237648702985404509,0.071,17.38,15.36,14.35,13.86,13.43,-22.2135,GALAXY,...,LINER
2,2,1237648702985404512,0.074,24.58,20.6,18.98,18.92,22.83,-21.1642,GALAXY,...,...
3,1,1237648704596082922,0.035,16.54,14.66,13.72,13.25,12.84,-21.9239,GALAXY,...,LINER
3,2,1237648704596082924,0.034,20.05,18.2,17.38,16.95,16.68,-20.8472,GALAXY,...,SF
4,1,1237648704597328218,0.115,19.63,17.46,16.38,15.92,15.56,-22.5689,GALAXY,...,SF
4,2,1237648704597328219,0.117,20.77,18.65,17.54,17.06,16.66,-21.6336,GALAXY,...,...
5,1,1237648705127514249,0.077,18.66,16.77,15.87,15.45,15.13,-21.6603,GALAXY,...,composite
5,2,1237648705127514250,0.077,20.28,18.38,17.5,17.05,16.73,-20.4237,GALAXY,...,SF
6,1,1237648705127579837,0.053,19.21,17.57,16.4,15.97,15.63,-22.3236,GALAXY,...,...
6,2,1237648705127579838,0.053,19.97,18.59,17.45,17.08,16.77,-22.3979,GALAXY,...,...
7,1,1237648720165404809,0.047,18.56,16.54,15.67,15.27,14.95,-21.3667,GALAXY,...,SF
7,2,1237648720165404810,0.038,20.7,18.78,17.97,17.57,17.26,-19.6624,GALAXY,...,seyfert
8,1,1237648721229906128,0.128,20.37,18.33,17.27,16.89,16.54,-21.7309,GALAXY,...,...
8,2,1237648721229906129,0.129,20.16,18.09,17.03,16.46,16.02,-21.3793,GALAXY,...,composite
9,1,1237648721764286689,0.125,18.79,16.82,15.8,15.38,15.03,-22.7595,GALAXY,...,SF
9,2,1237648721764286690,0.126,19.39,17.6,16.69,16.26,15.99,-21.5969,GALAXY,...,composite
10,1,1237648722320752744,0.101,20.34,18.35,17.41,17.01,16.66,-20.8902,GALAXY,...,composite
10,2,1237648722320752743,0.103,18.31,16.34,15.26,14.72,14.3,-22.6279,GALAXY,...,...
11,1,1237648722828132508,0.084,19.55,17.56,16.64,16.22,15.9,-21.0912,GALAXY,...,SF
11,2,1237648722828132509,0.079,18.87,17.53,16.87,16.45,16.21,-21.1712,GALAXY,STARFORMING,SF
12,1,1237648722830688509,0.128,20.86,18.88,17.78,17.33,16.95,-21.3577,GALAXY,...,seyfert
12,2,1237648722830688510,0.129,21.17,18.91,17.78,17.28,16.91,-21.4727,GALAXY,...,...
13,1,1237648722832982102,0.116,19.26,17.16,16.11,15.66,15.31,-22.5609,GALAXY,...,SF
13,2,1237648722832982104,0.118,19.81,17.46,16.44,16.02,15.66,-22.258,GALAXY,...,SF
14,1,1237648722844909728,0.118,20.86,18.69,17.63,17.18,16.8,-21.37,GALAXY,...,...
14,2,1237648722844909729,0.119,21.09,18.72,17.69,17.27,16.94,-21.2232,GALAXY,...,LINER
15,1,1237648722854150416,0.104,19.03,17.34,16.45,16,15.65,-21.6555,GALAXY,STARFORMING,SF
15,2,1237648722854150417,0.104,19.74,18.17,17.42,17,16.7,-20.7174,GALAXY,STARFORMING,composite
16,1,1237650369414889770,0.073,18.35,16.37,15.46,15.04,14.73,-22.2299,GALAXY,...,composite
16,2,1237650369414889772,0.072,20.76,18.2,17.34,16.94,16.62,-21.0305,GALAXY,...,...
17,1,1237650369948680320,0.152,21.03,18.95,17.85,17.37,17.03,-21.518,GALAXY,...,...
17,2,1237650369948680321,0.152,21.12,19.08,17.91,17.44,17.18,-21.9788,GALAXY,...,SF
18,1,1237650369951891631,0.067,18.86,17.91,17.62,17.35,17.34,-20.1958,GALAXY,STARBURST,SF
18,2,1237650369951891630,0.067,17.53,16.51,16.06,15.74,15.59,-21.2529,GALAXY,STARFORMING,SF
19,1,1237650761852846175,0.003,15.03,14.53,15.52,14.99,14.93,-18.6574,GALAXY,STARBURST,SF
19,2,1237650761852846176,0.004,16.01,15.64,15.73,16.05,16.01,-17.9552,GALAXY,STARBURST,SF
20,1,1237650762394959890,0.081,18.63,16.61,15.65,15.22,14.89,-22.3161,GALAXY,BROADLINE,seyfert
20,2,1237650762394959891,0.081,19.58,17.74,16.83,16.36,16.01,-21.1206,GALAXY,...,composite
21,1,1237651191356588179,0.133,19.51,17.48,16.38,15.92,15.52,-22.5505,GALAXY,...,composite
21,2,1237651191356588181,0.129,19.23,17.68,16.85,16.47,16.13,-21.5364,GALAXY,...,SF
22,1,1237651191357833291,0.115,19.9,17.79,16.77,16.32,15.97,-21.764,GALAXY,...,LINER
22,2,1237651191357833292,0.116,20.82,18.87,17.88,17.51,17.1,-20.8253,GALAXY,...,...
23,1,1237651191358685232,0.041,16.92,15.53,14.9,14.5,14.25,-22.0119,GALAXY,STARFORMING,SF
23,2,1237651191358685233,0.042,17.79,17.24,16.56,16.47,16.62,-21.8828,GALAXY,STARBURST,SF
24,1,1237651191886905701,0.085,19.7,17.62,16.62,16.16,15.82,-21.6645,GALAXY,...,...
24,2,1237651191886905702,0.085,19.88,17.93,16.93,16.45,16.12,-21.6757,GALAXY,...,LINER
25,1,1237651249878794247,0.066,18.94,16.83,15.8,15.29,14.9,-22.0298,GALAXY,BROADLINE,LINER
25,2,1237651249878728790,0.065,19.96,18.02,17.18,16.76,16.45,-20.3233,GALAXY,...,...
26,1,1237651249895243847,0.059,18.78,18.36,18.66,18.3,18.45,-13.2458,GALAXY,STARBURST,SF
26,2,1237651249895243848,0.059,18.61,17.6,17.4,17.23,17.14,-19.1362,GALAXY,STARFORMING,SF
27,1,1237651250964004981,0.102,20.31,18.54,17.51,17.02,16.7,-21.8849,GALAXY,STARFORMING,composite
27,2,1237651250964004982,0.102,19.82,18.28,17.48,16.99,16.72,-21.2366,GALAXY,STARBURST,composite
28,1,1237651252018151484,0.075,18.87,16.48,15.53,15.07,14.84,-22.4425,GALAXY,...,composite
28,2,1237651252018151487,0.075,19.52,17.12,16.17,15.71,15.5,-22.0728,GALAXY,...,LINER
29,1,1237651252024377492,0.089,19.6,17.59,16.62,16.19,15.85,-21.5913,GALAXY,...,LINER
29,2,1237651252024377493,0.089,19.8,17.77,16.8,16.38,16.05,-21.4408,GALAXY,...,LINER
30,1,1237651272441004053,0.047,16.63,15.89,15.49,15.13,14.95,-21.4416,GALAXY,STARBURST,composite
30,2,1237651272441004054,0.048,25.39,17.01,16.14,15.75,15.45,-23.0862,GALAXY,STARFORMING,SF
31,1,1237651272977678448,0.094,19.04,17.5,16.84,16.49,16.28,-20.3548,GALAXY,STARFORMING,SF
31,2,1237651272977678449,0.094,19.03,18.78,18.99,18.79,20.12,-19.5248,GALAXY,STARFORMING,SF
32,1,1237651273510289469,0.118,18.85,16.79,15.75,15.32,14.99,-22.9594,GALAXY,...,LINER
32,2,1237651273510289470,0.119,20.64,19.02,17.93,17.49,17.13,-21.5178,GALAXY,...,composite
33,1,1237651533335036071,0.114,18.71,16.69,15.66,15.22,14.84,-22.9562,GALAXY,...,LINER
33,2,1237651533335036072,0.116,20.11,18.25,17.3,16.81,16.47,-21.0874,GALAXY,...,SF
34,1,1237651537630134424,0.169,20.22,18.03,16.8,16.29,15.94,-22.8764,GALAXY,...,...
34,2,1237651537630134425,0.167,21.28,19.28,18.07,17.61,17.24,-21.7114,GALAXY,...,...
35,1,1237651737906381084,0.075,19.14,17.02,16.09,15.65,15.3,-21.6571,GALAXY,...,composite
35,2,1237651737906381085,0.08,20.23,18.38,17.45,17.02,16.72,-20.9448,GALAXY,...,...
36,1,1237651752415133892,0.169,21.23,18.73,17.51,17.01,16.63,-22.2,GALAXY,...,SF
36,2,1237651752415133893,0.168,20.84,18.88,17.66,17.17,16.82,-22.1293,GALAXY,...,LINER
37,1,1237651801769836701,0.006,17.74,16.3,15.35,18.07,17.12,-19.6487,GALAXY,STARBURST,SF
37,2,1237651801769836703,0.006,15.86,15.83,15.78,16.06,16.07,-19.2361,GALAXY,STARBURST,SF
